epoch	step	seen	train_loss	smooth_loss	val_acc	val_top5	lr
1	1250	100000	4.967669	4.534431	0.041200	0.140600	4.99603997e-04
2	2500	200000	4.227112	4.035240	0.043300	0.158400	9.99607997e-04
3	3750	300000	3.879178	3.782911	0.034500	0.105800	1.49961200e-03
4	5000	400000	3.647846	3.599952	0.039800	0.125600	1.99961600e-03
5	6250	500000	3.482957	3.395808	0.046200	0.130900	2.49962000e-03
6	7500	600000	3.351892	3.279186	0.061700	0.190600	2.99962400e-03
7	8750	700000	3.248140	3.224446	0.083400	0.258800	3.49962800e-03
8	10000	800000	3.165050	3.134911	0.061600	0.152500	3.99963200e-03
9	11250	900000	3.080276	3.075220	0.115500	0.294100	3.99883574e-03
10	12500	1000000	2.994206	2.937753	0.137400	0.321300	3.99534089e-03
11	13750	1100000	2.928172	2.963480	0.162900	0.363800	3.98951953e-03
12	15000	1200000	2.868007	2.853630	0.171000	0.381700	3.98137844e-03
13	16250	1300000	2.821691	2.757727	0.118700	0.285100	3.97092711e-03
14	17500	1400000	2.779979	2.801070	0.150200	0.371500	3.95817773e-03
15	18750	1500000	2.742041	2.740723	0.141200	0.337800	3.94314517e-03
16	20000	1600000	2.707777	2.685359	0.173100	0.392200	3.92584696e-03
17	21250	1700000	2.681583	2.666806	0.054700	0.153100	3.90630325e-03
18	22500	1800000	2.654033	2.726906	0.191500	0.408500	3.88453685e-03
19	23750	1900000	2.626710	2.622259	0.152300	0.337800	3.86057312e-03
20	25000	2000000	2.609067	2.653664	0.135700	0.328200	3.83444002e-03
21	26250	2100000	2.587703	2.650467	0.088600	0.237900	3.80616800e-03
22	27500	2200000	2.570049	2.544479	0.051500	0.154800	3.77579004e-03
23	28750	2300000	2.550292	2.554920	0.239600	0.491100	3.74334156e-03
24	30000	2400000	2.533279	2.572982	0.193500	0.415800	3.70886038e-03
25	31250	2500000	2.520211	2.560331	0.089500	0.228800	3.67238672e-03
26	32500	2600000	2.502091	2.514432	0.185500	0.424900	3.63396310e-03
27	33750	2700000	2.489612	2.481468	0.199800	0.431800	3.59363432e-03
