epoch	step	seen	train_loss	smooth_loss	val_acc	val_top5	lr
1	1250	100000	4.948692	4.503033	0.029400	0.121500	4.99603997e-04
2	2500	200000	4.208717	4.025858	0.041400	0.148700	9.99607997e-04
3	3750	300000	3.870186	3.777995	0.045200	0.165800	1.49961200e-03
4	5000	400000	3.640110	3.588375	0.022400	0.073200	1.99961600e-03
5	6250	500000	3.474909	3.400983	0.062600	0.173800	2.49962000e-03
6	7500	600000	3.348028	3.267838	0.049400	0.146200	2.99962400e-03
7	8750	700000	3.243032	3.213639	0.046200	0.138600	3.49962800e-03
8	10000	800000	3.165798	3.147971	0.125600	0.314500	3.99963200e-03
9	11250	900000	3.080995	3.072197	0.056300	0.175500	3.99883574e-03
10	12500	1000000	2.990577	2.941168	0.096300	0.236000	3.99534089e-03
11	13750	1100000	2.920512	2.945369	0.046700	0.150400	3.98951953e-03
12	15000	1200000	2.857699	2.850700	0.170300	0.380400	3.98137844e-03
13	16250	1300000	2.809971	2.741302	0.142300	0.349600	3.97092711e-03
14	17500	1400000	2.766429	2.819197	0.098100	0.252100	3.95817773e-03
15	18750	1500000	2.729319	2.733831	0.178000	0.385500	3.94314517e-03
16	20000	1600000	2.693536	2.684153	0.145000	0.334500	3.92584696e-03
17	21250	1700000	2.664932	2.662966	0.149600	0.336700	3.90630325e-03
18	22500	1800000	2.635407	2.712071	0.196400	0.405400	3.88453685e-03
19	23750	1900000	2.610069	2.581583	0.176600	0.396600	3.86057312e-03
20	25000	2000000	2.589076	2.646966	0.203800	0.449100	3.83444002e-03
21	26250	2100000	2.565360	2.633935	0.245800	0.503000	3.80616800e-03
22	27500	2200000	2.547477	2.524635	0.127100	0.317500	3.77579004e-03
23	28750	2300000	2.527110	2.533146	0.100200	0.275800	3.74334156e-03
24	30000	2400000	2.510155	2.561367	0.194900	0.436700	3.70886038e-03
25	31250	2500000	2.496649	2.526346	0.158800	0.350100	3.67238672e-03
26	32500	2600000	2.477272	2.480992	0.165900	0.369600	3.63396310e-03
27	33750	2700000	2.463786	2.462699	0.191100	0.423800	3.59363432e-03
28	35000	2800000	2.448601	2.406695	0.115400	0.309300	3.55144741e-03
29	36250	2900000	2.434823	2.432661	0.252600	0.513600	3.50745154e-03
30	37500	3000000	2.422115	2.478743	0.221300	0.459000	3.46169803e-03
