Wall time,Step,Value
1767152787.8726335,0,58.0
1767152809.3225446,1,71.0625
1767152830.6345577,2,60.4375
1767152852.1022606,3,71.1875
1767152873.602414,4,74.375
1767152895.094012,5,68.5625
1767152916.562631,6,70.25
1767152938.0726037,7,74.6875
1767152959.5892432,8,76.3125
1767152981.0955236,9,75.375
1767153002.6454484,10,60.0
1767153024.1745813,11,64.1875
1767153045.774392,12,74.125
1767153067.3521047,13,71.8125
1767153088.8344817,14,65.6875
1767153110.4023373,15,75.3125
1767153132.0377665,16,77.1875
1767153153.5342214,17,57.625
1767153175.0545197,18,73.0
1767153196.576287,19,67.75
1767153218.1438577,20,55.625
1767153239.7220023,21,81.0625
1767153261.2598948,22,64.1875
1767153282.7479455,23,78.6875
1767153304.2569168,24,77.625
1767153325.8452306,25,81.25
1767153347.4547312,26,82.5625
1767153369.056799,27,77.75
1767153390.6709514,28,73.0625
1767153412.2994494,29,75.4375
1767153433.8785233,30,81.75
1767153455.506213,31,73.25
1767153477.086926,32,79.25
1767153498.6762877,33,80.625
1767153520.2203684,34,81.75
1767153541.6896255,35,80.5625
1767153563.192452,36,71.125
1767153584.738249,37,80.3125
1767153606.2847977,38,85.125
1767153627.8278863,39,78.125
1767153649.3229837,40,84.6875
1767153670.8953145,41,68.1875
1767153692.463563,42,78.875
1767153713.8982303,43,76.5
1767153735.3988066,44,83.6875
1767153756.890586,45,87.125
1767153778.392191,46,78.6875
1767153799.8971279,47,83.1875
1767153821.3765242,48,78.5
1767153842.8776317,49,79.0
1767153864.3443317,50,85.3125
1767153885.8319683,51,82.625
1767153907.4341226,52,86.375
1767153928.9413066,53,86.5625
1767153950.4277575,54,77.8125
1767153971.944571,55,87.0
1767153993.4568846,56,86.25
1767154014.9660156,57,86.1875
1767154036.4601455,58,85.1875
1767154057.9893868,59,84.75
1767154079.4440362,60,85.9375
1767154100.9379485,61,86.0625
1767154122.5344844,62,79.125
1767154143.9825308,63,85.5
1767154165.4964395,64,85.6875
1767154186.9949834,65,86.3125
1767154208.5064669,66,86.8125
1767154229.9875531,67,86.6875
1767154251.466037,68,86.6875
1767154272.9859116,69,86.0
1767154294.5586581,70,86.125
1767154316.0440052,71,85.0
1767154337.5567005,72,84.0
1767154359.1450033,73,85.5
1767154380.6576416,74,86.6875
1767154402.2599142,75,88.125
1767154423.7820013,76,87.0
1767154445.357546,77,87.6875
1767154467.031901,78,88.125
1767154488.605497,79,86.6875
1767154510.196379,80,89.0625
1767154531.7384384,81,87.5
1767154553.366206,82,88.0625
1767154574.9885602,83,87.8125
1767154596.595709,84,88.6875
1767154618.222474,85,88.5625
1767154639.819371,86,88.8125
1767154661.4370055,87,88.0625
1767154683.0452876,88,88.5625
1767154704.6602898,89,88.875
1767154726.2509294,90,88.9375
1767154747.8377287,91,88.4375
1767154769.4449232,92,89.125
1767154791.1401744,93,89.125
1767154812.7115989,94,89.0625
1767154834.2783744,95,89.1875
1767154855.7825294,96,89.0
1767154877.3190076,97,89.0
1767154898.8125796,98,89.0625
1767154920.227847,99,88.8125
